,tahun,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,kategori_pendidikan,jml_kelompok_pendidikan
255,2018,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,PAUD,0
257,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,TIDAK SEKOLAH,0
258,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,SD,3
259,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,SLTP,0
260,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,SLTA,0
261,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,PERGURUAN TINGGI,0
262,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,TK,0
263,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,PAUD,0
265,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,TIDAK SEKOLAH,0
266,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,SD,3
267,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,SLTP,1
268,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,SLTA,5
269,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,PERGURUAN TINGGI,0
270,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,TK,1
271,2018,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,PAUD,1
273,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,TIDAK SEKOLAH,0
274,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,SD,0
275,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,SLTP,0
276,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,SLTA,0
277,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,PERGURUAN TINGGI,0
278,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,TK,0
279,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,PAUD,0
281,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,TIDAK SEKOLAH,0
282,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,SD,2
283,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,SLTP,0
284,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,SLTA,0
285,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,PERGURUAN TINGGI,0
286,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,TK,0
287,2018,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,PAUD,0
289,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,TIDAK SEKOLAH,0
290,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,SD,0
291,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,SLTP,2
292,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,SLTA,0
293,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,PERGURUAN TINGGI,0
294,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,TK,0
295,2018,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,PAUD,0
297,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,TIDAK SEKOLAH,0
298,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,SD,4
299,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,SLTP,1
300,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,SLTA,4
301,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,PERGURUAN TINGGI,1
302,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,TK,0
303,2018,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,PAUD,0
305,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,TIDAK SEKOLAH,0
306,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,SD,8
307,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,SLTP,2
308,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,SLTA,0
309,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,PERGURUAN TINGGI,0
310,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,TK,0
311,2018,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,PAUD,0
